name,category,state,district,description,lat,lng,image_url,tag,ai_description
Padauk Wood Craft of Andaman & Nicobar,Handicraft,Andaman and Nicobar Islands,,"Geographical Indication (GI) registered traditional handicraft of Andaman and Nicobar Islands, officially recognised under India's GI Registry (ipindia.gov.in).",11.623400,92.726500,https://upload.wikimedia.org/wikipedia/commons/f/f8/Intsia_bijuga.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Bring home a piece of the Andaman and Nicobar Islands' rich heritage with the beautiful Padauk Wood Craft, a traditional handicraft officially recognized with a prestigious Geographical Indication (GI) status. This unique art form captures the authentic spirit of the islands, making it the perfect, meaningful keepsake to remember your journey. Discover this cherished local craft and connect with the timeless traditions of the islands."
Nicobari Hut of Andaman & Nicobar,Handicraft,Andaman and Nicobar Islands,,"Geographical Indication (GI) registered traditional handicraft of Andaman and Nicobar Islands, officially recognised under India's GI Registry (ipindia.gov.in).",11.623400,92.726500,https://upload.wikimedia.org/wikipedia/commons/3/3d/Nicobari_hut_model-1-samudrika_museum-andaman-India.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,GI,"Discover the rich heritage of the Andaman and Nicobar Islands through the Nicobari Hut, a traditional handicraft officially recognized with a prestigious Geographical Indication (GI) tag. This unique creation beautifully captures the timeless craftsmanship and cultural spirit of the islands. It is the perfect, certified keepsake to remind you of your travels and connect you to the local history of this beautiful region."
Srikalahasthi Kalamkari,Handicraft,Andhra Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Andhra Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",13.750000,79.700000,https://upload.wikimedia.org/wikipedia/commons/7/7d/Kalamkari_painting.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Discover the captivating beauty of Srikalahasthi Kalamkari, a prized traditional handicraft from Andhra Pradesh. Officially registered as a Geographical Indication (GI) craft, this unique art form carries the authentic heritage of its region in every detail. We invite you to explore this certified masterpiece and experience one of India's true cultural treasures."
Budithi Bell & Brass Metal Craft,Handicraft,Andhra Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Andhra Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",18.533300,83.900000,https://static.india.gov.in/npiprod/odop/uploads/budithi_bell_and_brass_metal_craft_d7fb2e658d.webp,GI,"Step into the rich heritage of Andhra Pradesh with the Budithi Bell and Brass Metal Craft, a cherished tradition officially recognized under India's Geographical Indication Registry. Each exquisite piece showcases the incredible skill of local artisans, transforming metal into a timeless symbol of cultural pride. Let the authentic charm of this unique craft inspire your journey and connect you with the region's living history."
Machilipatnam Kalamkari,Handicraft,Andhra Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Andhra Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",16.187500,81.138900,https://upload.wikimedia.org/wikipedia/commons/f/ff/Kalamkari_painting_of_Lord_Vishnu_on_serpent_Ananta.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Step into the vibrant world of Machilipatnam Kalamkari, a cherished traditional handicraft from the heart of Andhra Pradesh. This exquisite art form holds a special place in India's heritage, officially recognized with a prestigious Geographical Indication (GI) status. Explore this celebrated local treasure and let its unique cultural legacy inspire your travels."
Andhra Pradesh Leather Puppetry,Handicraft,Andhra Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Andhra Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",16.506200,80.648000,https://upload.wikimedia.org/wikipedia/commons/c/ca/Swanage_Punch_%26_Judy.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Discover the enchanting world of Andhra Pradesh Leather Puppetry, a cherished traditional handicraft officially recognized with a Geographical Indication tag. This unique art form showcases the rich cultural heritage of the region through beautifully crafted leather puppets. Add a touch of wonder to your journey as you explore this celebrated Indian craft and experience its timeless beauty firsthand."
Uppada Jamdani Sarees,Handicraft,Andhra Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Andhra Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",16.933300,82.333300,https://upload.wikimedia.org/wikipedia/commons/6/67/%E0%A6%9C%E0%A6%BE%E0%A6%AE%E0%A6%A6%E0%A6%BE%E0%A6%A8%E0%A7%80_%E0%A6%B6%E0%A6%BE%E0%A6%A1%E0%A6%BC%E0%A7%80.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Step into the mesmerizing world of Uppada Jamdani Sarees, a cherished traditional handicraft born in Andhra Pradesh. Officially recognized under India's Geographical Indication (GI) Registry, this exquisite textile art represents a unique piece of the region's cultural heritage. Discover the beauty of these authentic creations and let their timeless elegance weave its way into your travel memories."
Venkatagiri Sarees,Handicraft,Andhra Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Andhra Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",13.966700,79.583300,https://upload.wikimedia.org/wikipedia/commons/f/f2/Hand_loom_in_Devikapuram.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Discover the charm of Venkatagiri Sarees, a cherished traditional handicraft that represents the rich heritage of Andhra Pradesh. This beautiful creation is officially recognized as a Geographical Indication product, ensuring you experience an authentic piece of the region's unique artistry. We invite you to explore this treasured craft and let its timeless story enrich your journey."
Mangalagiri Sarees And Fabrics,Handicraft,Andhra Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Andhra Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",16.433300,80.550000,https://upload.wikimedia.org/wikipedia/commons/c/c0/Mangalagiri_town.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Discover the beautiful heritage of Andhra Pradesh through the exquisite Mangalagiri Sarees and Fabrics. This traditional handicraft is officially recognized with a Geographical Indication (GI) registration, celebrating its authentic and unique regional craftsmanship. It is the perfect cultural treasure to seek out and admire during your travels through the region."
Bobbili Veena,Handicraft,Andhra Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Andhra Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",18.566700,83.366700,https://upload.wikimedia.org/wikipedia/commons/4/45/Bobbili_Veena_07.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Discover the artistic soul of Andhra Pradesh through the exquisite Bobbili Veena, a cherished traditional handicraft that beautifully captures the region's cultural heritage. Officially recognized under India's Geographical Indication (GI) Registry, this prestigious instrument stands as a true symbol of authentic local craftsmanship. Bring home this beautifully certified treasure and let its timeless legacy connect you to the heart of your journey."
Dharmavaram Handloom Pattu Sarees And Paavadas,Handicraft,Andhra Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Andhra Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",14.414400,77.718100,https://upload.wikimedia.org/wikipedia/commons/a/a6/%E0%B0%AE%E0%B0%97%E0%B1%8D%E0%B0%97%E0%B0%82_%E0%B0%A8%E0%B1%87%E0%B0%B8%E0%B1%8D%E0%B0%A4%E0%B1%81%E0%B0%A8%E0%B1%8D%E0%B0%A8_%E0%B0%AE%E0%B0%B9%E0%B0%BF%E0%B0%B3._IMG_20200126_145718-01.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Discover the incredible artistry of Andhra Pradesh through the renowned Dharmavaram Handloom Pattu Sarees and Paavadas. Officially recognized as a protected Geographical Indication (GI) handicraft, these stunning traditional textiles carry the authentic soul of the region's heritage. Let the beauty of this time-honored handloom craft inspire your journey and connect you with India’s rich cultural legacy."
Durgi Stone Carvings,Handicraft,Andhra Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Andhra Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",16.433300,79.566700,https://upload.wikimedia.org/wikipedia/commons/e/e6/Maa_Gram_Devi_Temple%2C_Durgi.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Welcome to the world of Durgi Stone Carvings, a treasured traditional handicraft from Andhra Pradesh. This exquisite stone art holds a prestigious Geographical Indication status, marking it as an officially recognized masterpiece of regional heritage. Take a moment to admire these beautifully carved creations and discover the authentic spirit of India's artistic legacy."
Udayagiri Wooden Cutlery,Handicraft,Andhra Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Andhra Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",14.866700,79.316700,https://handicrafts.nic.in/crafts/All_Crafts/Craft_Categories/Wood/Wooden_Artware/Udayagiri_Wooden_Cutlery/Image_Gallery/Uda_1%20%281%29.jpg,GI,"Discover the exquisite charm of Udayagiri Wooden Cutlery, a cherished traditional handicraft originating from the heart of Andhra Pradesh. As an officially recognized Geographical Indication (GI) craft, each beautifully made piece carries a rich legacy of authentic regional artistry. Take home a piece of this unique heritage and let these timeless creations add a touch of traditional elegance to your life."
Allagadda Stone Carving,Handicraft,Andhra Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Andhra Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",15.150000,78.500000,https://upload.wikimedia.org/wikipedia/commons/9/90/Allagadda_skyline.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Step into the rich heritage of Andhra Pradesh and discover the timeless beauty of Allagadda Stone Carving. Officially recognized under India's Geographical Indication registry, this prized traditional handicraft showcases the extraordinary skill of local artisans. We invite you to explore these beautifully carved treasures and bring home a unique piece of India's living history."
Narasapur Crochet Lace Products,Handicraft,Andhra Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Andhra Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",16.433300,81.700000,https://upload.wikimedia.org/wikipedia/commons/8/85/Crochet_lace_gloves.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,GI,"Discover the delicate beauty of Narasapur Crochet Lace, a treasured traditional handicraft from Andhra Pradesh. As an officially recognized Geographical Indication (GI) product, this exquisite lace represents the authentic and registered artistry of the region. It makes for a perfect, timeless keepsake to remember your journey and bring a piece of India’s rich heritage home with you."
Ponduru Khadi,Handicraft,Andhra Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Andhra Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",18.200000,83.783300,https://upload.wikimedia.org/wikipedia/commons/d/d1/Weaving%2Cponduru%2Cmarch25.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Discover the warmth and heritage of Ponduru Khadi, a cherished traditional handicraft from Andhra Pradesh. As an officially recognized Geographical Indication (GI) craft, this treasured art form represents the authentic soul and living history of the region. Let this beautifully preserved craft weave its way into your travel memories and connect you with India’s timeless traditions."
Idu Mishmi Textiles,Handicraft,Arunachal Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Arunachal Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",27.084400,93.605300,https://upload.wikimedia.org/wikipedia/commons/6/61/Miju_Mishmi_women_from_Anjaw_district_in_their_traditional_attire.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Step into the rich cultural heritage of Arunachal Pradesh through the beautiful artistry of Idu Mishmi Textiles. Officially recognized with Geographical Indication (GI) status, this traditional handicraft is a true symbol of the region's unique identity. Discover these authentic woven treasures on your journey and bring home a piece of India's living history."
Arunachal Pradesh Tangsa Textile Product,Handicraft,Arunachal Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Arunachal Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",27.084400,93.605300,https://upload.wikimedia.org/wikipedia/commons/7/7b/White%2C_Brown%2C_Red_%26_Wild_rice.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,GI,"Immerse yourself in the rich cultural heritage of Northeast India with the stunning Tangsa Textile Products of Arunachal Pradesh. As an officially recognized Geographical Indication handicraft, each unique piece is a certified treasure of traditional craftsmanship. Bring home an authentic slice of this beautiful region's living history to cherish forever."
Arunachal Pradesh Handmade Carpet,Handicraft,Arunachal Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Arunachal Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",27.084400,93.605300,https://upload.wikimedia.org/wikipedia/commons/3/3c/Aadi_people_Home_Arunachal_pradesh.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,GI,"Discover the warmth and artistry of Arunachal Pradesh through its magnificent, traditionally woven handmade carpets. Proudly holding a certified Geographical Indication status, this authentic handicraft showcases the timeless heritage and skill unique to the region. Take a piece of this rich cultural story home with you and cherish a true masterpiece of Indian craftsmanship."
Arunachal Pradesh Wancho Wooden Craft,Handicraft,Arunachal Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Arunachal Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",27.084400,93.605300,https://upload.wikimedia.org/wikipedia/commons/3/3c/Aadi_people_Home_Arunachal_pradesh.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,GI,"Discover the rich cultural heritage of Arunachal Pradesh through the exquisite Wancho Wooden Craft, a cherished traditional handicraft. Officially recognized with a prestigious Geographical Indication tag, this unique art form represents the authentic spirit and traditions of the region. Let these beautiful wooden creations capture your imagination as you explore the wonders of the state."
Arunachal Pradesh Apatani Textile,Handicraft,Arunachal Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Arunachal Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",23.850000,72.116700,https://upload.wikimedia.org/wikipedia/commons/7/71/Donyi_Polo_Airport%2C_Itanagar.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Discover the captivating beauty of the Apatani Textile, a cherished traditional handicraft native to Arunachal Pradesh. This beautiful weave is officially recognized with a prestigious Geographical Indication (GI) tag, celebrating its authentic local heritage. Let the warmth of this unique craft welcome you to the rich cultural traditions of the region."
Arunachal Pradesh Monpa Textile,Handicraft,Arunachal Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Arunachal Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",27.084400,93.605300,https://upload.wikimedia.org/wikipedia/commons/3/3c/Aadi_people_Home_Arunachal_pradesh.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,GI,"Discover the rich cultural heritage of Arunachal Pradesh through the beautiful Monpa Textile, a traditional handicraft celebrated for its unique local artistry. This exceptional craft is officially recognized with a Geographical Indication (GI) tag, marking it as a true treasure of the region. Let the story of this authentic Indian handicraft inspire your journey as you explore the vibrant traditions of the northeast."
Arunachal Pradesh Nyishi Textile,Handicraft,Arunachal Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Arunachal Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",27.084400,93.605300,https://upload.wikimedia.org/wikipedia/commons/7/71/Donyi_Polo_Airport%2C_Itanagar.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Wrap yourself in the rich heritage of Arunachal Pradesh with the Nyishi Textile, a prized traditional handicraft that tells the story of the region. This unique textile is officially recognized under India's GI Registry, making it an authentic piece of local culture to cherish. Discover this beautiful craft on your journey and take home a genuine slice of Northeast India's artistic legacy."
Arunachal Pradesh Monpa Handmade Paper,Handicraft,Arunachal Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Arunachal Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",27.084400,93.605300,https://upload.wikimedia.org/wikipedia/commons/3/3c/Aadi_people_Home_Arunachal_pradesh.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,GI,"Discover a beautiful piece of local heritage with Arunachal Pradesh Monpa Handmade Paper, a cherished traditional handicraft from Arunachal Pradesh. This exceptional art form is officially recognized under India's Geographical Indication Registry, celebrating its unique authenticity and regional origin. Let yourself be captivated by this certified cultural treasure that connects you directly to the artistic soul of the region."
Arunachal Pradesh Adi Textile,Handicraft,Arunachal Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Arunachal Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",27.084400,93.605300,https://upload.wikimedia.org/wikipedia/commons/0/01/Portrait_of_Adi_Tribals_from_Arunachal_Pradesh.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Wrap yourself in the vibrant heritage of Arunachal Pradesh with the exquisite Adi Textile, a treasured traditional handicraft deeply rooted in local culture. Officially recognized with a prestigious Geographical Indication (GI) status, this authentic weave represents the true artistic spirit of the region. Discover these beautiful creations on your journey and take home a genuine piece of Indian heritage."
Arunachal Pradesh Galo Textile,Handicraft,Arunachal Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Arunachal Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",27.084400,93.605300,https://upload.wikimedia.org/wikipedia/commons/7/71/Donyi_Polo_Airport%2C_Itanagar.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Welcome to the rich heritage of Arunachal Pradesh with the exquisite Galo Textile, a traditional handicraft officially recognized with Geographical Indication protection. This unique art form captures the cultural essence of the region, making it a truly special keepsake for your journey. Explore this beautiful textile and carry a piece of authentic Indian craftsmanship home with you."
Arunachal Pradesh Tai Khamti Textile,Handicraft,Arunachal Pradesh,,"Geographical Indication (GI) registered traditional handicraft of Arunachal Pradesh, officially recognised under India's GI Registry (ipindia.gov.in).",27.084400,93.605300,https://upload.wikimedia.org/wikipedia/commons/7/7b/White%2C_Brown%2C_Red_%26_Wild_rice.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,GI,"Immerse yourself in the rich heritage of Northeast India with the stunning Tai Khamti Textile, a cherished traditional handicraft from Arunachal Pradesh. This exquisite art form carries the prestigious Geographical Indication (GI) status, marking it as a truly authentic treasure of the region's cultural identity. Discover the beauty of this unique craft and take home a genuine piece of living Indian tradition."
Muga Silk of Assam,Handicraft,Assam,,"Geographical Indication (GI) registered traditional handicraft of Assam, officially recognised under India's GI Registry (ipindia.gov.in).",26.144500,91.736200,https://upload.wikimedia.org/wikipedia/commons/c/c0/Assamese_Muga_With_Japi.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Muga Silk of Assam, a Geographical Indication‑registered traditional handicraft, is officially recognized in India's GI Registry, reflecting the state's proud weaving legacy. Experience the exquisite craftsmanship that has been passed down through generations, making each piece a living expression of Assamese culture."
Gamosa of Assam,Handicraft,Assam,,"Geographical Indication (GI) registered traditional handicraft of Assam, officially recognised under India's GI Registry (ipindia.gov.in).",26.144500,91.736200,https://commons.wikimedia.org/wiki/Special:Redirect/file/Gamosa_of_Assam.jpg,GI,"The Gamosa of Assam is a beautifully woven, traditional cloth that carries the spirit of the region in every thread, proudly recognized with a Geographical Indication (GI) tag. Its simple elegance and vibrant patterns make it a beloved everyday accessory and a cherished souvenir, inviting you to wrap yourself in Assam’s rich cultural heritage."
Majuli Mask of Assam,Handicraft,Assam,,"Geographical Indication (GI) registered traditional handicraft of Assam, officially recognised under India's GI Registry (ipindia.gov.in).",26.950000,94.183300,"https://commons.wikimedia.org/wiki/Special:Redirect/file/A_mask_at_Majuli,_Assam.jpg",GI,"Discover the vibrant Majuli Mask of Assam, a beautifully crafted traditional handicraft that carries the spirit of the island’s rich cultural heritage. Proudly protected under India’s Geographical Indication registry, each mask showcases the intricate artistry and timeless charm that make Assam’s craft traditions truly unforgettable."
Assam Majuli Manuscript Painting,Handicraft,Assam,,"Geographical Indication (GI) registered traditional handicraft of Assam, officially recognised under India's GI Registry (ipindia.gov.in).",26.950000,94.183300,https://upload.wikimedia.org/wikipedia/commons/4/4a/A_manuscript_painting_from_Brihat_Usaharan%2C_an_assamese_manuscript_painting_from_Budhbari_Satra.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Discover the vibrant world of Assam Majuli Manuscript Painting, a cherished traditional art form from the serene island of Majuli that proudly carries a Geographical Indication (GI) tag. Each hand‑crafted masterpiece bursts with intricate motifs and rich cultural stories, inviting you to experience the timeless beauty of Assam’s artistic heritage. Let these exquisite paintings inspire your journey and bring a piece of Majuli’s legacy home with you."
Bodo Aronai,Handicraft,Assam,,"Geographical Indication (GI) registered traditional handicraft of Assam, officially recognised under India's GI Registry (ipindia.gov.in).",26.144500,91.736200,https://commons.wikimedia.org/wiki/Special:Redirect/file/ARONAI.jpg,GI,"Discover the vibrant artistry of Bodo Aronai, a traditional handicraft from Assam proudly protected by a Geographical Indication registration. Each piece reflects the region’s rich cultural heritage, offering travelers a genuine taste of Assamese craftsmanship that’s officially recognized across India."
Bodo Dokhona,Handicraft,Assam,,"Geographical Indication (GI) registered traditional handicraft of Assam, officially recognised under India's GI Registry (ipindia.gov.in).",26.144500,91.736200,https://upload.wikimedia.org/wikipedia/commons/3/36/Bodo_dance.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Discover the vibrant Bodo Dokhona, a cherished traditional handicraft from Assam that proudly carries a Geographical Indication (GI) tag, celebrating its authentic roots. Each piece reflects the skillful artistry of local artisans, offering visitors a colorful glimpse into the region’s cultural heritage. Let the intricate designs and rich textures of Bodo Dokhona inspire your journey through Assam’s timeless craftsmanship."
Bodo Eri Silk,Handicraft,Assam,,"Geographical Indication (GI) registered traditional handicraft of Assam, officially recognised under India's GI Registry (ipindia.gov.in).",26.144500,91.736200,https://upload.wikimedia.org/wikipedia/commons/c/c0/Assamese_Muga_With_Japi.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,GI,"Discover the exquisite Bodo Eri Silk, a cherished traditional handicraft of Assam that proudly carries a Geographical Indication (GI) registration, marking its unique cultural heritage. Each piece reflects the timeless artistry of local weavers, offering visitors a vibrant glimpse into the region’s rich textile legacy."
