"id","artisanKey","primaryCraftId","studioName","personalName","craftSpecialization","location","state","yearsOfPractice","bio","profilePhotoUrl","coverPhotoUrl","publicContact","languages","experienceInfo","createdAt","updatedAt","lat","lng"
11,"o-p-malhotra-2012","","Artware Shawls by O. P. Malhotra","O. P. Malhotra","Shawl as Artware","Himachal Pradesh","Himachal Pradesh",0,"Recipient of the Shilp Guru award (2012), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Shawl as Artware.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/4/44/Blue_kani_final.jpg","","","Recipient of the Shilp Guru award, 2012. Years of practice not publicly documented.","2026-08-26 18:58:04","2026-09-06 17:48:38","31.104800","77.173400"
12,"rasheed-ahmed-quadri-2012","","Bidriware by Rasheed Ahmed Quadri","Rasheed Ahmed Quadri","Bidriware","Bidar","Karnataka",0,"Recipient of the Shilp Guru award (2012), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Bidriware metal craft.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/1/12/Bidriware_Hookah.jpg","","","Recipient of the Shilp Guru award, 2012. Years of practice not publicly documented.","2026-08-26 18:58:05","2026-09-06 17:48:39","15.317300","75.713900"
13,"t-venkatesa-raja-2012","","Thanjavur Painting by T. Venkatesa Raja","T. Venkatesa Raja","Thanjavur Painting","Thanjavur","Tamil Nadu",0,"Recipient of the Shilp Guru award (2012), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Thanjavur Painting.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/f/ff/Thanjavur_Painting.jpg","","","Recipient of the Shilp Guru award, 2012. Years of practice not publicly documented.","2026-08-26 18:58:05","2026-09-06 17:48:39","11.127100","78.656900"
14,"saila-moharana-2012","","Pattachitra by Saila Moharana","Saila Moharana","Pattachitra","Odisha","Odisha",0,"Recipient of the Shilp Guru award (2012), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Pattachitra painting.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/d/de/Pattachitra_Painting_%2816854531288%29.jpg","","","Recipient of the Shilp Guru award, 2012. Years of practice not publicly documented.","2026-08-26 18:58:06","2026-09-06 17:48:40","20.951700","85.098500"
15,"dhruba-sil-2012","","Wood Carving by Dhruba Sil","Dhruba Sil","Wood Carving","West Bengal","West Bengal",0,"Recipient of the Shilp Guru award (2012), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Wood Carving.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2e/Thazhathangadi_juma_masjid_Kottayam_Kerala_south_india.jpg","","","Recipient of the Shilp Guru award, 2012. Years of practice not publicly documented.","2026-08-26 18:58:06","2026-09-06 17:48:40","22.986800","87.855000"
16,"krishna-das-paul-2012","","Cane & Bamboo Craft by Krishna Das Paul","Krishna Das Paul","Cane & Bamboo","Tripura","Tripura",0,"Recipient of the Shilp Guru award (2012), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Cane and Bamboo craft.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a4/Bamboo_crafted_dancing_lady_from_Samaguri_Satra.jpg","","","Recipient of the Shilp Guru award, 2012. Years of practice not publicly documented.","2026-08-26 18:58:07","2026-09-06 17:48:41","23.940800","91.988200"
17,"bhasar-bhura-khoyala-2013","","Leather Craft by Bhasar Bhura Khoyala","Bhasar Bhura Khoyala","Leather work","Gujarat","Gujarat",0,"Recipient of the Shilp Guru award (2013), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Leather work.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2013. Years of practice not publicly documented.","2026-08-26 18:58:07","2026-09-06 17:48:41","22.258700","71.192400"
18,"abdul-aziz-bazaz-2013","","Walnut Wood Carving by Abdul Aziz Bazaz","Abdul Aziz Bazaz","Walnut Wood Carving","Jammu & Kashmir","Jammu & Kashmir",0,"Recipient of the Shilp Guru award (2013), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Walnut Wood Carving.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/4/42/Walnut_wood_carving.jpg","","","Recipient of the Shilp Guru award, 2013. Years of practice not publicly documented.","2026-08-26 18:58:08","2026-09-06 17:48:42","33.778200","76.576200"
19,"anita-choudapurkar-2013","","Kasuti Embroidery by Anita Choudapurkar","Anita Choudapurkar","Kasuti Embroidery","Karnataka","Karnataka",0,"Recipient of the Shilp Guru award (2013), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Kasuti Embroidery.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/d/df/Kasuti_embroidery.jpg","","","Recipient of the Shilp Guru award, 2013. Years of practice not publicly documented.","2026-08-26 18:58:08","2026-09-06 17:48:44","15.317300","75.713900"
20,"prabha-mallesh-2013","","Mysore Traditional Painting by Prabha Mallesh","Prabha Mallesh","Mysore style Painting","Mysuru","Karnataka",0,"Recipient of the Shilp Guru award (2013), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Mysore-style traditional painting.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/6/65/Cheluvarayaswamy.jpg","","","Recipient of the Shilp Guru award, 2013. Years of practice not publicly documented.","2026-08-26 18:58:09","2026-09-06 17:48:45","15.317300","75.713900"
21,"dina-bandhu-mohapatra-2013","","Palm Leaf & Pattachitra by Dina Bandhu Mohapatra","Dina Bandhu Mohapatra","Palmleaf & Pattachitra Painting","Odisha","Odisha",0,"Recipient of the Shilp Guru award (2013), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Palm Leaf Engraving and Pattachitra Painting.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1e/Radha_and_Krishna_tala_pattachitra_from_Odisha%2C_ink_on_palm_leaf%2C_artist_unknown.JPG","","","Recipient of the Shilp Guru award, 2013. Years of practice not publicly documented.","2026-08-26 18:58:09","2026-09-06 17:48:45","20.951700","85.098500"
22,"kova-naneshwar-2013","","Brass Dokra by Kova Naneshwar","Kova Naneshwar","Brass Dokra Craft","Telangana","Telangana",0,"Recipient of the Shilp Guru award (2013), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Brass Dokra craft.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/7/74/Dhokra_%28Man%29.jpg","","","Recipient of the Shilp Guru award, 2013. Years of practice not publicly documented.","2026-08-26 18:58:10","2026-09-06 17:48:45","18.112400","79.019300"
23,"reva-shankar-sharma-2013","","Miniature Painting by Reva Shankar Sharma","Reva Shankar Sharma","Miniature Painting","Rajasthan","Rajasthan",0,"Recipient of the Shilp Guru award (2013), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Miniature Painting.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/d/dc/Rajasthani_Miniature_painting.jpg","","","Recipient of the Shilp Guru award, 2013. Years of practice not publicly documented.","2026-08-26 18:58:10","2026-09-06 17:48:46","27.023800","74.217900"
24,"rafiquddin-2013","","Marble Inlay by Rafiquddin","Rafiquddin","Marble Inlay","Agra","Uttar Pradesh",0,"Recipient of the Shilp Guru award (2013), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Marble Inlay work.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/6/64/Flowers_in_Marble%2C_the_Taj_Mahal%2C_Agra%2C_Uttar_Pradesh%2C_India.jpg","","","Recipient of the Shilp Guru award, 2013. Years of practice not publicly documented.","2026-08-26 18:58:11","2026-09-06 17:48:47","26.846700","80.946200"
25,"banamali-mahapatra-2014","","Pattachitra by Banamali Mahapatra","Banamali Mahapatra","Pattachitra Painting","Odisha","Odisha",0,"Recipient of the Shilp Guru award (2014), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Pattachitra Painting.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/1/15/Naagaa_Dancer%2C_Raghurajpur.JPG","","","Recipient of the Shilp Guru award, 2014. Years of practice not publicly documented.","2026-08-26 18:58:12","2026-09-06 17:48:48","20.951700","85.098500"
26,"hema-shekar-2014","","Tie-Dye & Batik by Hema Shekar","Hema Shekar","Tie & Dye and Batik Painting","Karnataka","Karnataka",0,"Recipient of the Shilp Guru award (2014), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Tie & Dye and Batik Painting.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e8/Batik_Shari_design_by_Jamuna_Sen.jpg","","","Recipient of the Shilp Guru award, 2014. Years of practice not publicly documented.","2026-08-26 18:58:14","2026-09-06 17:48:48","15.317300","75.713900"
27,"kailash-chand-sharma-2014","","Miniature Painting by Kailash Chand Sharma","Kailash Chand Sharma","Miniature Painting","Rajasthan","Rajasthan",0,"Recipient of the Shilp Guru award (2014), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Miniature Painting.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/d/dc/Rajasthani_Miniature_painting.jpg","","","Recipient of the Shilp Guru award, 2014. Years of practice not publicly documented.","2026-08-26 18:58:15","2026-09-06 17:48:49","27.023800","74.217900"
28,"ram-swaroop-sharma-2014","","Wire & Wood Inlay by Ram Swaroop Sharma","Ram Swaroop Sharma","Wire Inlay and Wood Inlay","Rajasthan","Rajasthan",0,"Recipient of the Shilp Guru award (2014), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Wire Inlay and Wood Inlay.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2b/Wood_inlay_Mysore.jpg","","","Recipient of the Shilp Guru award, 2014. Years of practice not publicly documented.","2026-08-26 18:58:16","2026-09-06 17:48:49","27.023800","74.217900"
29,"badshah-miyan-2014","","Lehariya Tie-Dye by Badshah Miyan","Badshah Miyan","Tie & Dye Lehariya with Natural Herbal","Rajasthan","Rajasthan",0,"Recipient of the Shilp Guru award (2014), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Tie & Dye Lehariya with natural herbal dyes.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2014. Years of practice not publicly documented.","2026-08-26 18:58:16","2026-09-06 17:48:52","27.023800","74.217900"
30,"khande-kullayappa-2015","","Leather Puppetry by Khande Kullayappa","Khande Kullayappa","Leather Puppets","Andhra Pradesh","Andhra Pradesh",0,"Recipient of the Shilp Guru award (2015), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Leather Puppetry.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/8/83/Hanuman_and_Ravana_in_Tholu_Bommalata%2C_the_shadow_puppet_tradition_of_Andhra_Pradesh%2C_India.JPG","","","Recipient of the Shilp Guru award, 2015. Years of practice not publicly documented.","2026-08-26 18:58:17","2026-09-06 17:48:52","15.912900","79.740000"
31,"k-siva-prasada-reddy-2015","","Kalamkari Painting by K. Siva Prasada Reddy","K. Siva Prasada Reddy","Kalamkari Painting","Andhra Pradesh","Andhra Pradesh",0,"Recipient of the Shilp Guru award (2015), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Kalamkari Painting.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/5/54/Kalamkari_Painting.JPG","","","Recipient of the Shilp Guru award, 2015. Years of practice not publicly documented.","2026-08-26 18:58:18","2026-09-06 17:48:53","15.912900","79.740000"
32,"irshad-hussain-farooqi-2015","","Calligraphic Wood Carving by Irshad Hussain Farooqi","Irshad Hussain Farooqi","Calligraphy in Wood Carving","Delhi","Delhi",0,"Recipient of the Shilp Guru award (2015), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Calligraphy in Wood Carving.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2015. Years of practice not publicly documented.","2026-08-26 18:58:18","2026-09-06 17:48:54","28.704100","77.102500"
33,"rajender-parshad-bondwal-2015","","Sandalwood Carving by Rajender Parshad Bondwal","Rajender Parshad Bondwal","Sandal Wood Carving","Haryana","Haryana",0,"Recipient of the Shilp Guru award (2015), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Sandal Wood Carving.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_of_Carved_Sandal_Wood_From_Travancore.jpg","","","Recipient of the Shilp Guru award, 2015. Years of practice not publicly documented.","2026-08-26 18:58:19","2026-09-06 17:48:54","29.058800","76.085600"
34,"khatri-abdul-razak-mohmed-2015","","Ajrakh Block Printing by Khatri Abdul Razak Mohmed","Khatri Abdul Razak Mohmed","Ajrakh Hand Block Printing","Kutch","Gujarat",0,"Recipient of the Shilp Guru award (2015), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Ajrakh Hand Block Printing.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/2/28/Ajrakh_Block_Printing_Geography.png","","","Recipient of the Shilp Guru award, 2015. Years of practice not publicly documented.","2026-08-26 18:58:20","2026-09-06 17:48:55","22.258700","71.192400"
35,"abdul-raouf-2015","","Bidri Craft by Abdul Raouf","Abdul Raouf","Bidri Craft","Bidar","Karnataka",0,"Recipient of the Shilp Guru award (2015), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Bidri metal craft.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/6/62/Bidri_craft%2C_Hyderabad%2C_India.jpg","","","Recipient of the Shilp Guru award, 2015. Years of practice not publicly documented.","2026-08-26 18:58:21","2026-09-06 17:48:55","15.317300","75.713900"
36,"girish-kumar-rajsoni-2015","","Thewa Craft by Girish Kumar Rajsoni","Girish Kumar Rajsoni","Thewa Craft","Pratapgarh","Rajasthan",0,"Recipient of the Shilp Guru award (2015), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Thewa gold-on-glass craft.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/5/52/Stamp_of_India_-_2002_-_Colnect_158278_-_Handicrafts_of_India_-_Thewa.jpeg","","","Recipient of the Shilp Guru award, 2015. Years of practice not publicly documented.","2026-08-26 18:58:22","2026-09-06 17:48:56","27.023800","74.217900"
37,"mohd-matloob-2016","","Mughal Wood Carving by Mohd. Matloob","Mohd. Matloob","Mughal Wood Carving Engraving and Inlay","Delhi","Delhi",0,"Recipient of the Shilp Guru award (2016), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Mughal Wood Carving, Engraving and Inlay.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2016. Years of practice not publicly documented.","2026-08-26 18:58:25","2026-09-06 17:48:57","28.704100","77.102500"
38,"gulam-hyder-mirza-2016","","Paper Mache by Gulam Hyder Mirza","Gulam Hyder Mirza","Paper Machie","Jammu & Kashmir","Jammu & Kashmir",0,"Recipient of the Shilp Guru award (2016), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Kashmiri Paper Mache.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/9/95/Kashmiri_Woodcarving_And_Paper_mach%C3%A9.jpg","","","Recipient of the Shilp Guru award, 2016. Years of practice not publicly documented.","2026-08-26 18:58:28","2026-09-06 17:48:57","33.778200","76.576200"
39,"kalpataru-maharana-2016","","Stone Carving by Kalpataru Maharana","Kalpataru Maharana","Stone Carving","Konark","Odisha",0,"Recipient of the Shilp Guru award (2016), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Stone Carving.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5d/Brihadeeswarar_Temple_02.jpg","","","Recipient of the Shilp Guru award, 2016. Years of practice not publicly documented.","2026-08-26 18:58:32","2026-09-06 17:48:58","20.951700","85.098500"
40,"rupan-matharu-2016","","Wood Inlay by Rupan Matharu","Rupan Matharu","Plastic Inlay on Wood","Punjab","Punjab",0,"Recipient of the Shilp Guru award (2016), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Plastic Inlay on Wood.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2016. Years of practice not publicly documented.","2026-08-26 18:58:35","2026-09-06 17:48:58","31.147100","75.341200"
41,"gopal-saini-2016","","Blue Pottery by Gopal Saini","Gopal Saini","Blue Pottery","Jaipur","Rajasthan",0,"Recipient of the Shilp Guru award (2016), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Jaipur Blue Pottery.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/2/28/Jaipur_Blue_Pottery_Vase_with_Raja-Rani_Design.jpg","","","Recipient of the Shilp Guru award, 2016. Years of practice not publicly documented.","2026-08-26 18:58:39","2026-09-06 17:48:58","27.023800","74.217900"
42,"arjun-prajapati-2016","","Terracotta by Arjun Prajapati","Arjun Prajapati","Terracotta","Rajasthan","Rajasthan",0,"Recipient of the Shilp Guru award (2016), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Terracotta craft.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/0/05/Bankura_Horses_Arnab_Dutta_2011.JPG","","","Recipient of the Shilp Guru award, 2016. Years of practice not publicly documented.","2026-08-26 18:58:43","2026-09-06 17:49:01","27.023800","74.217900"
43,"babu-lal-marotia-2016","","Miniature Painting by Babu Lal Marotia","Babu Lal Marotia","Miniature Painting","Rajasthan","Rajasthan",0,"Recipient of the Shilp Guru award (2016), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Miniature Painting.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/d/dc/Rajasthani_Miniature_painting.jpg","","","Recipient of the Shilp Guru award, 2016. Years of practice not publicly documented.","2026-08-26 18:58:44","2026-09-06 17:49:01","27.023800","74.217900"
44,"tripti-mukherjee-2016","","Kantha Embroidery by Tripti Mukherjee","Tripti Mukherjee","Kantha Hand Embroidery","West Bengal","West Bengal",0,"Recipient of the Shilp Guru award (2016), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Kantha Hand Embroidery.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2c/Kantha_%28Quilt%29_LACMA_AC1994.131.1.jpg","","","Recipient of the Shilp Guru award, 2016. Years of practice not publicly documented.","2026-08-26 18:58:45","2026-09-06 17:49:02","22.986800","87.855000"
45,"vinod-kumar-jangir-2017","","Sandalwood Carving by Vinod Kumar Jangir","Vinod Kumar Jangir","Sandal Wood Carving","Rajasthan","Rajasthan",0,"Recipient of the Shilp Guru award (2017), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Sandal Wood Carving.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5f/Door_of_Carved_Sandal_Wood_From_Travancore.jpg","","","Recipient of the Shilp Guru award, 2017. Years of practice not publicly documented.","2026-08-26 18:58:45","2026-09-06 17:49:02","27.023800","74.217900"
46,"dilshad-hussain-2017","","Brass Engraving by Dilshad Hussain","Dilshad Hussain","Brass Engraving","Moradabad","Uttar Pradesh",0,"Recipient of the Shilp Guru award (2017), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Brass Engraving.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2017. Years of practice not publicly documented.","2026-08-26 18:58:47","2026-09-06 17:49:02","26.846700","80.946200"
47,"v-k-munuswamy-2017","","Terracotta by V. K. Munuswamy","V. K. Munuswamy","Terracotta","Puducherry","Puducherry",0,"Recipient of the Shilp Guru award (2017), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Terracotta craft.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/0/05/Bankura_Horses_Arnab_Dutta_2011.JPG","","","Recipient of the Shilp Guru award, 2017. Years of practice not publicly documented.","2026-08-26 18:58:48","2026-09-06 17:49:03","11.941600","79.808300"
48,"zahiruddin-2017","","Khurja Blue Pottery by Zahiruddin","Zahiruddin","Khurja Blue Pottery","Khurja","Uttar Pradesh",0,"Recipient of the Shilp Guru award (2017), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Khurja Blue Pottery.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2017. Years of practice not publicly documented.","2026-08-26 18:58:49","2026-09-06 17:49:03","26.846700","80.946200"
49,"tapan-chakraborty-2017","","Palm Leaf Engraving by Tapan Chakraborty","Tapan Chakraborty","Palm Leaf Engraving","West Bengal","West Bengal",0,"Recipient of the Shilp Guru award (2017), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Palm Leaf Engraving.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1e/Radha_and_Krishna_tala_pattachitra_from_Odisha%2C_ink_on_palm_leaf%2C_artist_unknown.JPG","","","Recipient of the Shilp Guru award, 2017. Years of practice not publicly documented.","2026-08-26 18:58:51","2026-09-06 17:49:04","22.986800","87.855000"
50,"noorbanu-mohamad-khatri-2017","","Bandhani Tie-Dye by Noorbanu Mohamad Khatri","Noorbanu Mohamad Khatri","Bandhani Tie-Dye","Kutch","Gujarat",0,"Recipient of the Shilp Guru award (2017), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Bandhani Tie-Dye.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/6/6b/Bandhani%2C_Tie_dye_dresses_drying_in_Jaipur.jpg","","","Recipient of the Shilp Guru award, 2017. Years of practice not publicly documented.","2026-08-26 18:58:53","2026-09-06 17:49:04","22.258700","71.192400"
51,"k-r-mohanan-2017","","Wood Carving by K. R. Mohanan","K. R. Mohanan","Wood Carving","Kerala","Kerala",0,"Recipient of the Shilp Guru award (2017), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Wood Carving.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2e/Thazhathangadi_juma_masjid_Kottayam_Kerala_south_india.jpg","","","Recipient of the Shilp Guru award, 2017. Years of practice not publicly documented.","2026-08-26 18:58:56","2026-09-06 17:49:05","10.850500","76.271100"
